"","F3D0","F3D1","F3D141","F3D142","F3D143","F3D144","F3D145","F3D146","F3D147","F3D148","F3D149","F3D150","F3D2","F3D3","F3D5","F3D6","F3D7","F3D8","F3D9","Mock"
"otu 138 ",0,0,0,3,12,0,15,0,16,13,4,0,0,0,0,0,0,0,0,0
"otu 139 ",0,9,0,0,0,0,0,0,0,0,0,13,9,0,0,13,0,11,7,0
"otu 140 ",0,4,0,0,0,0,0,0,0,12,16,0,10,6,4,0,4,4,0,0
"otu 141 ",0,0,7,0,0,0,0,0,0,11,17,0,0,0,0,0,0,10,15,0
"otu 142 ",57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"otu 143 ",0,7,0,0,0,0,0,0,0,0,10,0,7,0,8,0,0,16,9,0
"otu 144 ",9,8,0,0,0,0,2,0,0,5,0,0,14,0,2,5,0,5,6,0
"otu 145 ",0,10,0,0,0,0,4,0,5,5,8,0,10,0,4,5,0,0,5,0
"otu 146 ",16,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,11,13,0
"otu 147 ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53
"otu 148 ",0,0,0,0,0,0,0,0,10,0,26,15,0,0,0,0,0,0,0,0
"otu 149 ",0,3,0,0,0,0,0,0,0,0,0,0,8,0,9,9,0,0,19,0
"otu 150 ",21,8,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,7,0
"otu 151 ",0,0,0,0,6,0,0,0,0,17,24,0,0,0,0,0,0,0,0,0
"otu 152 ",0,0,0,0,0,0,0,0,0,0,22,23,0,0,0,0,0,0,0,0
"otu 153 ",7,0,0,6,0,0,5,0,5,0,7,6,5,0,0,0,0,3,0,0
"otu 154 ",0,0,0,0,0,0,0,0,0,0,26,0,18,0,0,0,0,0,0,0
"otu 155 ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0
"otu 156 ",9,0,0,0,0,0,7,5,0,0,12,9,0,0,0,0,0,0,0,0
"otu 157 ",19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,17,0
"otu 158 ",0,0,0,0,0,0,0,0,0,0,26,0,0,14,0,0,0,0,0,0
"otu 159 ",10,6,0,0,0,0,0,15,0,0,0,0,8,0,0,0,0,0,0,0
"otu 160 ",0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0
"otu 161 ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38
"otu 162 ",0,0,0,0,0,0,0,10,15,0,12,0,0,0,0,0,0,0,0,0
"otu 163 ",21,0,0,0,0,0,0,0,0,11,4,0,0,0,0,0,0,0,0,0
"otu 164 ",0,0,0,0,0,0,0,0,13,0,7,0,0,13,3,0,0,0,0,0
"otu 165 ",0,0,0,0,0,0,0,0,0,0,15,0,20,0,0,0,0,0,0,0
"otu 166 ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,22,0
"otu 167 ",0,0,0,0,0,0,4,0,6,15,9,0,0,0,0,0,0,0,0,0
